[2019-03-19 13:42:58,992: INFO/ForkPoolWorker-1] Task main.tasks.scaner_acts_follow[b5a3549a-f3fd-45a7-b9ac-143bb0ff4299] succeeded in 0.04134285310283303s: 'Запущено 0 заданий'
[2019-03-19 13:43:09,074: WARNING/ForkPoolWorker-1] задание есть
[2019-03-19 13:43:09,101: DEBUG/ForkPoolWorker-1] USERAGENT: Instagram 26.0.0.10.86 Android (24/7.0; 640dpi; 1440x2560; samsung; SM-G930F; herolte; samsungexynos8890; en_US)
[2019-03-19 13:43:09,112: WARNING/ForkPoolWorker-1] Потенциальный фолловер: serdgik_lo_ol
[2019-03-19 13:43:09,115: DEBUG/ForkPoolWorker-1] REQUEST: https://i.instagram.com/api/v1/friendships/create/8466259855/ POST
[2019-03-19 13:43:09,115: DEBUG/ForkPoolWorker-1] DATA: b'ig_sig_key_version=4&signed_body=e146f2cf06200f5db2357fcd67c1401fd6179d72e69278e69c500522ec31a4e6.%7B%22user_id%22%3A%228466259855%22%2C%22radio_type%22%3A%22wifi-none%22%2C%22_csrftoken%22%3A%22QG1JM8eGdMiz6rH6cDSKErSATWZtRZTS%22%2C%22_uuid%22%3A%224cc9c3bc-355d-11e9-b844-080027375973%22%2C%22_uid%22%3A%229221983535%22%7D'
[2019-03-19 13:43:10,005: DEBUG/ForkPoolWorker-1] RESPONSE: 200 {"friendship_status": {"following": true, "followed_by": true, "blocking": false, "muting": false, "is_private": false, "incoming_request": false, "outgoing_request": false, "is_bestie": false}, "status": "ok"}
[2019-03-19 13:43:10,005: WARNING/ForkPoolWorker-1] Фолловер добавлен
[2019-03-19 13:43:10,012: WARNING/ForkPoolWorker-1] Запись удалена из Acc_in_act
[2019-03-19 13:43:10,013: WARNING/ForkPoolWorker-1] Завершение ф-ции фолловинга
[2019-03-19 13:43:14,055: INFO/ForkPoolWorker-1] Task main.tasks.follow_it[3a74daaa-be8e-40b6-a394-d93b761fa6ae] succeeded in 5.00441596203018s: 'Фолловинг совершен'
[2019-03-19 13:43:48,942: WARNING/ForkPoolWorker-1] задание есть
[2019-03-19 13:43:48,957: DEBUG/ForkPoolWorker-1] USERAGENT: Instagram 26.0.0.10.86 Android (24/7.0; 640dpi; 1440x2560; samsung; SM-G930F; herolte; samsungexynos8890; en_US)
[2019-03-19 13:43:48,963: WARNING/ForkPoolWorker-1] Потенциальный фолловер: tensina86
[2019-03-19 13:43:48,964: DEBUG/ForkPoolWorker-1] REQUEST: https://i.instagram.com/api/v1/friendships/create/4616292921/ POST
